delivery_date,cv_fold,hour_index,forecast_cutoff_utc,interval_end_utc,forecast_method,erco_solar_generation_mwh,erco_wind_generation_mwh,erco_consumed_co2_intensity_lbs_per_kwh,forecast_erco_solar_generation_mwh,forecast_erco_wind_generation_mwh,forecast_consumed_co2_lbs_per_kwh,residual_erco_solar_generation_mwh,residual_erco_wind_generation_mwh,residual_erco_consumed_co2_intensity_lbs_per_kwh,complete_row,usable_24h_block
2024-09-13,fold_3,3,2024-09-12T23:00:00Z,2024-09-13T09:00:00Z,direct_ridge_90d_v1,1.0,18119.0,0.6179544090111521,0.0,11816.692045278629,0.8078268273526407,1.0,6302.307954721371,-0.1898724183414886,True,True
2024-09-13,fold_3,4,2024-09-12T23:00:00Z,2024-09-13T10:00:00Z,direct_ridge_90d_v1,1.0,17636.0,0.6211570222110027,0.0,11060.517526729298,0.8211595679137825,1.0,6575.482473270702,-0.20000254570277987,True,True
2024-09-13,fold_3,5,2024-09-12T23:00:00Z,2024-09-13T11:00:00Z,direct_ridge_90d_v1,1.0,17393.0,0.6367755745969629,0.0,10252.512641532672,0.8442302630162368,1.0,7140.487358467328,-0.20745468841927395,True,True
2024-09-13,fold_3,6,2024-09-12T23:00:00Z,2024-09-13T12:00:00Z,direct_ridge_90d_v1,1.0,17434.0,0.6599707806163988,0.0,9493.249589923093,0.8705033898133088,1.0,7940.750410076907,-0.21053260919690997,True,True
2024-09-13,fold_3,7,2024-09-12T23:00:00Z,2024-09-13T13:00:00Z,direct_ridge_90d_v1,969.0,16513.0,0.6633716732058054,520.7991780232824,8716.936808324424,0.8764555523713691,448.20082197671763,7796.063191675576,-0.2130838791655637,True,True
2024-09-13,fold_3,8,2024-09-12T23:00:00Z,2024-09-13T14:00:00Z,direct_ridge_90d_v1,9321.0,14301.0,0.559227673296276,8071.039142453933,7126.5575789093145,0.7616029696151737,1249.960857546067,7174.4424210906855,-0.20237529631889772,True,True
2024-09-13,fold_3,9,2024-09-12T23:00:00Z,2024-09-13T15:00:00Z,direct_ridge_90d_v1,17118.0,12077.0,0.4845396293071211,14542.48955313541,6519.821163763167,0.6815008080526499,2575.5104468645895,5557.178836236833,-0.19696117874552882,True,True
2024-09-13,fold_3,10,2024-09-12T23:00:00Z,2024-09-13T16:00:00Z,direct_ridge_90d_v1,19101.0,13144.0,0.46098034262472165,16649.37381376043,6328.133444575467,0.6720713903794906,2451.6261862395695,6815.866555424533,-0.21109104775476895,True,True
2024-09-13,fold_3,11,2024-09-12T23:00:00Z,2024-09-13T17:00:00Z,direct_ridge_90d_v1,20496.0,12328.0,0.4851165870584065,17637.162140583514,5747.750740189098,0.698020038925237,2858.837859416486,6580.249259810902,-0.21290345186683052,True,True
2024-09-13,fold_3,12,2024-09-12T23:00:00Z,2024-09-13T18:00:00Z,direct_ridge_90d_v1,20862.0,10202.0,0.5440127388958481,17943.975392587465,5626.084189896204,0.7178272410868214,2918.0246074125353,4575.915810103796,-0.17381450219097327,True,True
